"","일자","종목코드","종목명","관리여부","종가","EPS","PER","BPS","PBR","주당배당금","배당수익률","게시물  일련번호","총카운트"
"1474",2019-09-20,"004890","동일산업","-",58200,"7,164","8.12","146,353","0.4",1500,2.58,1474,NA
"1475",2019-09-20,"004910","조광페인트","-",6360,"-","-","13,596","0.47",100,1.57,1475,NA
"1476",2019-09-20,"004960","한신공영","-",15900,"14,178","1.12","37,954","0.42",375,2.36,1476,NA
"1477",2019-09-20,"004970","신라교역","-",13150,"2,525","5.21","31,862","0.41",500,3.8,1477,NA
"1478",2019-09-20,"005190","동성화학","-",16750,"1,105","15.16","19,823","0.84",500,2.99,1478,NA
"1479",2019-09-20,"005430","한국공항","-",40650,"6,159","6.6","100,784","0.4",1000,2.46,1479,NA
"1480",2019-09-20,"005680","삼영전자","-",9600,"757","12.68","24,024","0.4",250,2.6,1480,NA
"1481",2019-09-20,"005720","넥센","-",5960,"1,103","5.4","16,786","0.36",75,1.26,1481,NA
"1482",2019-09-20,"005725","넥센우","-",3660,"-","-","-","-",80,2.19,1482,NA
"1483",2019-09-20,"005740","크라운해태홀딩스","-",11600,"310","37.42","18,740","0.62",100,0.86,1483,NA
"1484",2019-09-20,"005750","대림B&Co","-",4085,"252","16.21","9,644","0.42",150,3.67,1484,NA
"1485",2019-09-20,"005800","신영와코루","-",108500,"3,010","36.05","342,569","0.32",1500,1.38,1485,NA
"1486",2019-09-20,"005810","풍산홀딩스","-",35400,"5,394","6.56","89,766","0.39",1700,4.8,1486,NA
"1487",2019-09-20,"005820","원림","-",17950,"-","-","39,851","0.45",0,0,1487,NA
"1488",2019-09-20,"005870","휴니드","-",7480,"1,590","4.7","7,710","0.97",0,0,1488,NA
"1489",2019-09-20,"005945","NH투자증권우","-",9170,"-","-","-","-",550,6,1489,NA
"1490",2019-09-20,"005950","이수화학","-",9950,"469","21.22","20,199","0.49",400,4.02,1490,NA
"1491",2019-09-20,"006060","화승인더","-",9770,"370","26.41","4,869","2.01",40,0.41,1491,NA
"1492",2019-09-20,"006090","사조오양","-",8450,"845","10","16,524","0.51",50,0.59,1492,NA
"1493",2019-09-20,"006110","삼아알미늄","-",4665,"252","18.51","9,605","0.49",100,2.14,1493,NA
"1494",2019-09-20,"006200","한국전자홀딩스","-",766,"-","-","2,525","0.3",15,1.96,1494,NA
"1495",2019-09-20,"006220","제주은행","-",4365,"1,071","4.08","14,722","0.3",100,2.29,1495,NA
"1496",2019-09-20,"006340","대원전선","-",1420,"18","78.89","1,151","1.23",0,0,1496,NA
"1497",2019-09-20,"006370","대구백화점","-",5490,"-","-","27,618","0.2",150,2.73,1497,NA
"1498",2019-09-20,"006380","카프로","-",3705,"251","14.76","6,742","0.55",50,1.35,1498,NA
"1499",2019-09-20,"006405","삼성SDI우","-",90700,"-","-","-","-",1050,1.16,1499,NA
"1500",2019-09-20,"006660","삼성공조","-",8840,"781","11.32","26,155","0.34",80,0.9,1500,NA
"1501",2019-09-20,"006740","영풍제지","-",3030,"797","3.8","5,006","0.61",40,1.32,1501,NA
"1502",2019-09-20,"006805","미래에셋대우우","-",4735,"-","-","-","-",242,5.11,1502,NA
"1503",2019-09-20,"00680K","미래에셋대우2우B","-",4350,"-","-","-","-",220,5.06,1503,NA
"1504",2019-09-20,"006880","신송홀딩스","-",4435,"-","-","10,520","0.42",0,0,1504,NA
